location,type,playplace,drive-thur,,
7124 3RD AVE   72ND ST BROOKLYN NY 11209 ,STOREFRONT,FALSE,FALSE,40.63366057,-74.02692761
2028 ROCKAWAY PKY BROOKLYN NY 11236 ,STOREFRONT,FALSE,FALSE,40.63336453,-73.88934703
2154 NOSTRAND AVE   HILLEL BROOKLYN NY 11210 ,STOREFRONT,FALSE,FALSE,40.63238649,-73.94767666
1656 UTICA AVE BROOKLYN NY 11234 ,FREE STANDING,TRUE,TRUE,40.63221633,-73.92834651
501 BAY ST STATEN ISLAND NY 10304 ,FREE STANDING,FALSE,TRUE,40.6298455,-74.07665892
803 FOREST AVE STATEN ISLAND NY 10310 ,FREE STANDING,FALSE,TRUE,40.62901814,-74.11581463
365 ROCKAWAY TPKE LAWRENCE NY 11559 ,FREE STANDING,FALSE,TRUE,40.62726807,-73.73680309
1815 FOREST AVE STATEN ISLAND NY 10303 ,FREE STANDING,FALSE,TRUE,40.62521738,-74.14939794
430 86TH ST BROOKLYN NY 11209 ,STOREFRONT,TRUE,FALSE,40.62226511,-74.02756609
6620 BAY PKY BROOKLYN NY 11204 ,STOREFRONT,TRUE,FALSE,40.61280342,-73.98253155
5407 KINGS PLZ BROOKLYN NY 11234 ,MALL,FALSE,FALSE,40.6111213,-73.92027318
1660 RICHMOND AVE STATEN ISLAND NY 10314 ,FREE STANDING,FALSE,TRUE,40.60803654,-74.1622916
2141 MOTT AVE FAR ROCKAWAY NY 11691 ,FREE STANDING,FALSE,TRUE,40.60517509,-73.75491241
2413 86TH STREET & 24TH BROOKLYN NY 11214 ,FREE STANDING,TRUE,TRUE,40.59907093,-73.9890545
2410 CONEY ISLAND AVE BROOKLYN NY 11223 ,FREE STANDING,FALSE,TRUE,40.59813341,-73.96120312
35-40 NOSTRAND AVE & AVE V BROOKLYN NY 11229 ,FREE STANDING,TRUE,TRUE,40.59749431,-73.94135604
1388 HYLAN BLVD STATEN ISLAND NY 10305 ,FREE STANDING,FALSE,TRUE,40.59466909,-74.08632813
835 ROOSEVELT AVE CARTERET NJ 07008 ,FREE STANDING,FALSE,TRUE,40.59084144,-74.22877031
