location,type,playplace,drive-thur,lat,long
33 BROAD ST,STOREFRONT,FALSE,FALSE,40.66900831,-73.93073932
420-34 RTE 1 N,FREE STANDING,TRUE,TRUE,40.66936831,-73.91277434
1660 RICHMOND AVE,FREE STANDING,FALSE,TRUE,40.66954175,-73.98694855
537 BROADWAY,FREE STANDING,TRUE,TRUE,40.66993482,-73.860889
1815 FOREST AVE,FREE STANDING,FALSE,TRUE,40.67327877,-73.99934301
244-10 MERRICK BLVD,FREE STANDING,FALSE,TRUE,40.673916,-73.728981
1388 HYLAN BLVD,FREE STANDING,FALSE,TRUE,40.67409347,-73.72930826
803 FOREST AVE,FREE STANDING,FALSE,TRUE,40.67643384,-73.89074565
31-46 21ST ST,FREE STANDING,FALSE,TRUE,40.67709818,-73.92250958
159-40 CROSS BAY BLVD,FREE STANDING,FALSE,TRUE,40.67725688,-73.8994855
54-29 METROPOLITAN AVE,FREE STANDING,TRUE,TRUE,40.67953046,-73.87944847
809/811 6TH AVE/28TH,STOREFRONT,FALSE,FALSE,40.67971285,-73.77716289
166-01 BAISLEY BOULEVARD,FREE STANDING,FALSE,TRUE,40.679722,-73.777218
1467 ROCKAWAY PKY,STOREFRONT,FALSE,FALSE,40.68161716,-73.9672616
2028 ROCKAWAY PKY,STOREFRONT,FALSE,FALSE,40.68409958,-73.97743796
7602 FLATLANDS AVE,FREE STANDING,FALSE,TRUE,40.68597129,-73.79359603
114-01 SUTPHIN BLVD,FREE STANDING,FALSE,TRUE,40.686154,-73.793263
5407 KINGS PLZ,MALL,FALSE,FALSE,40.6863664,-73.82389024
119-05 LIBERTY AVE,STOREFRONT,FALSE,FALSE,40.686568,-73.82399
35-40 NOSTRAND AVE & AVE V,FREE STANDING,TRUE,TRUE,40.68922542,-73.92167507
606 NEPTUNE AVE @ WEST 6TH ST,FREE STANDING,FALSE,TRUE,40.69020852,-73.98429428
2410 CONEY ISLAND AVE,FREE STANDING,FALSE,TRUE,40.69085493,-73.98591258
54-04 MYRTLE AVE,STOREFRONT,FALSE,FALSE,40.69135483,-73.99161095
91-01 JAMAICA AVENUE,STOREFRONT,FALSE,FALSE,40.693076,-73.853792
1380 BROADWAY,FREE STANDING,FALSE,TRUE,40.69310431,-73.85374855
968 4TH AVE & 37TH,FREE STANDING,FALSE,TRUE,40.69620974,-73.74337608
216-07 LINDEN BLVD,FREE STANDING,FALSE,TRUE,40.696614,-73.743116
180 PARKSIDE AVE,STOREFRONT,FALSE,FALSE,40.69947501,-73.91959461
57 EMPIRE BLVD,FREE STANDING,FALSE,TRUE,40.69954882,-73.91089372
357 HAMILTON AVE,FREE STANDING,FALSE,TRUE,40.70115919,-73.80783636
289 9TH ST,STOREFRONT,FALSE,FALSE,40.70189519,-73.88054664
1403 MERMAID AVENUE,FREE STANDING,FALSE,FALSE,40.70252285,-73.81428169
1531 FULTON ST & TROOP AVENUE,FREE STANDING,FALSE,TRUE,40.70350655,-73.79991082
1883 ATLANTIC AVENUE,FREE STANDING,FALSE,TRUE,40.70372016,-73.9292531
904 MANHATTAN AVE & GREENPOINT,STOREFRONT,FALSE,FALSE,40.70615461,-73.79318111
2240 FLATBUSH AVE. @ FILMORE,FREE STANDING,FALSE,TRUE,40.70949149,-74.01019517
1656 UTICA AVE,FREE STANDING,TRUE,TRUE,40.71107216,-73.85451268
2154 NOSTRAND AVE @ HILLEL,STOREFRONT,FALSE,FALSE,40.71171764,-73.94318358
501 BAY ST,FREE STANDING,FALSE,TRUE,40.71272814,-73.9892228
213 MADISON STREET,STOREFRONT,FALSE,FALSE,40.712918,-73.989238
5121 5TH AVE,STOREFRONT,TRUE,FALSE,40.7131419,-73.90957947
7124 3RD AVE @ 72ND ST,STOREFRONT,FALSE,FALSE,40.71324806,-73.78160031
430 86TH ST,STOREFRONT,TRUE,FALSE,40.71339482,-73.82906165
2797 LINDEN BLVD,FREE STANDING,FALSE,TRUE,40.71417415,-73.73331636
5707-13 CHURCH AVE,FREE STANDING,FALSE,TRUE,40.71455047,-74.00713891
5804 CLAREDON RD,FREE STANDING,FALSE,TRUE,40.71455047,-74.00713891
1133 EASTERN PARKWAY,STOREFRONT,FALSE,FALSE,40.71455047,-74.00713891
943 FLATBUSH AVE & SNYDER,STOREFRONT,FALSE,FALSE,40.71455047,-74.00713891
6620 BAY PKY,STOREFRONT,TRUE,FALSE,40.71455047,-74.00713891
1983 86TH ST @ 20TH AVE (SAT),STOREFRONT,FALSE,FALSE,40.71455047,-74.00713891
2413 86TH STREET & 24TH,FREE STANDING,TRUE,TRUE,40.71455047,-74.00713891
880 CONEY ISLAND,FREE STANDING,FALSE,TRUE,40.71455047,-74.00713891
3525 FORT HAMILTON PKY,FREE STANDING,TRUE,TRUE,40.71455047,-74.00713891
444 LENOX AVE / 132ND,STOREFRONT,FALSE,FALSE,40.71455047,-74.00713891
700 BROADWAY,FREE STANDING,FALSE,TRUE,40.71455047,-74.00713891
267 BROADWAY,STOREFRONT,FALSE,FALSE,40.71455047,-74.00713891
1275 FULTON STEET,STOREFRONT,FALSE,FALSE,40.71455047,-74.00713891
840 ATLANTIC AVE,FREE STANDING,FALSE,TRUE,40.71455047,-74.00713891
3543-49 BROADWAY @ 145TH,STOREFRONT,FALSE,FALSE,40.71455047,-74.00713891
3809 BROADWAY,STOREFRONT,FALSE,FALSE,40.71455047,-74.00713891
